,ENGLISH,GERMAN
21632,step into the light,tretet ins licht
21633,stop being so naive,sei nicht so naiv
21634,stop being so picky,sei nicht so wahlerisch
21635,stop calling me tom,hor auf mich tom zu nennen
21636,stop criticizing me,hor auf mich zu kritisieren
21637,stop criticizing me,hort auf mich zu kritisieren
21638,stop criticizing me,horen sie auf kritik an mir zu uben
21639,stop fooling around,hor auf zu blodeln
21640,stop messing around,hor auf damit herumzuspielen
21641,stop messing around,hor auf mit dem quatsch
21642,stop picking on tom,unterlass es auf tom herumzuhacken
21643,stop playing around,hor auf herzumzublodeln
21644,stop that right now,hor sofort damit auf
21645,stop that right now,hort sofort damit auf
21646,stop that right now,horen sie sofort damit auf
21647,stop or ill shoot,bleib stehen oder ich schiee
21648,stop or ill shoot,bleibt stehen oder ich schiee
21649,stop or ill shoot,bleiben sie stehen oder ich schiee
21650,take a look at this,guck dir das mal an
21651,take a look at this,schau dir das mal an
21652,take a seat please,bitte nehmen sie platz
21653,take off your shoes,zieh deine schuhe aus
21654,take off your socks,zieh deine socken aus
21655,take the next right,nehmen sie die nachste strae rechts
21656,tell tom i love him,sage tom dass ich ihn liebe
21657,tell her to call me,sag ihr sie soll mich anrufen
21658,tell him to call me,sag ihm er soll mich anrufen
21659,tell me over dinner,erzahl es mir beim abendessen
21660,tell me where he is,sage mir wo er ist
21661,tell me you love me,sag mir dass du mich liebst
21662,thailand is in asia,thailand liegt in asien
21663,thank you for today,danke fur heute
21664,thank you very much,vielen dank
21665,thanks all the same,trotzdem vielen dank
21666,thanks for the cake,danke fur den kuchen
21667,thanks for the help,danke fur die hilfe
21668,thanks for the hint,danke fur den hinweis
21669,thanks for the hint,danke fur den tipp
21670,thanks for the info,danke fur die information
21671,thanks for the lift,vielen dank fur das mitnehmen
21672,thanks for the lift,danke furs mitnehmen
21673,thanks for the milk,danke fur die milch
21674,thanks for the ride,danke furs mitnehmen
21675,that tv is too loud,dieser fernseher ist zu laut
21676,that cant be right,das kann nicht stimmen
21677,that cannot be true,das kann nicht wahr sein
21678,that cannot be true,das kann nicht stimmen
21679,that comes in handy,das ist ja praktisch
21680,that day shall come,der tag wird kommen
21681,that does sound fun,das klingt nach spa
21682,that doesnt happen,das passiert nicht
21683,that doesnt happen,das geschieht nicht
21684,that dress is cheap,jenes kleid ist billig
21685,that dress is cheap,das kleid da ist billig
21686,that explains a lot,das erklart einiges
21687,that game is boring,das spiel ist langweilig
21688,that hurts stop it,das tut weh hor auf damit
21689,that is a good idea,das ist eine gute idee
21690,that is my overcoat,das ist mein paletot
21691,that is my overcoat,das ist mein mantel
21692,that is not a tiger,das ist kein tiger
21693,that is not my line,ich bin nicht vom fach
21694,that is not my line,das ist nicht mein fachgebiet
21695,that isnt my fault,das ist nicht meine schuld
21696,that isnt our goal,das ist nicht unser ziel
21697,that joke was funny,der witz war lustig
21698,that looks like tea,das sieht wie tee aus
21699,that makes me angry,das argert mich
21700,that may not happen,das passiert vielleicht nicht
21701,that ought to do it,das sollte genugen
21702,that rarely happens,das kommt selten vor
21703,that sounds amazing,das klingt phantastisch
21704,that sounds awesome,das klingt groartig
21705,that was depressing,das war bedruckend
21706,that was depressing,das war deprimierend
21707,that was impressive,das war beeindruckend
21708,that was really bad,das war wirklich schlecht
21709,that was really fun,das hat wirklich spa gemacht
21710,that was some storm,das war ein ordentlicher sturm
21711,that was unexpected,das war unerwartet
21712,that was very funny,das war sehr lustig
21713,that wasnt so hard,das war nicht so schwer
21714,that wasnt so hard,das war nicht so schwierig
21715,that wont help you,das wird dir nicht helfen
21716,that would be funny,das ware lustig
21717,that would be great,das ware toll
21718,that would be lying,das ware eine luge
21719,that would be smart,das ware schlau
21720,thatd be dangerous,das ware gefahrlich
21721,thats toms family,das ist toms familie
21722,thats toms father,das ist toms vater
21723,thats a blue house,das ist ein blaues haus
21724,thats a great idea,das ist ja eine tolle idee
21725,thats a great plan,das ist ein guter plan
21726,thats a great poem,das ist ein tolles gedicht
21727,thats a lemon tree,das ist ein zitronenbaum
21728,thats a lot to ask,das ist ein bisschen viel verlangt
21729,thats a new record,das ist ein neuer rekord
21730,thats a nice story,das ist eine nette geschichte
21731,thats a nobrainer,es ist ein kinderspiel
21732,thats a tall order,das wird ganz schon schwierig
21733,thats a tall order,das ist ein groe aufgabe
21734,thats all i can do,mehr kann ich nicht tun
21735,thats all they had,sie hatten sonst nichts
21736,thats all you need,das ist alles was du brauchst
21737,thats an exception,das ist eine ausnahme
21738,thats an imitation,das ist eine falschung
21739,thats an old trick,das ist ein alter trick
21740,thats childs play,das ist ein kinderspiel
21741,thats common sense,das ist vernunftig
21742,thats common sense,das entspricht dem gesunden menschenverstand
21743,thats discouraging,das ist entmutigend
21744,thats embarrassing,das ist peinlich
21745,thats embarrassing,das ist beschamend
21746,thats good to know,gut zu wissen
21747,thats his business,das ist sein geschaft
21748,thats just a start,das ist erst ein anfang
21749,thats more like it,das kommt schon eher hin
21750,thats not a secret,das ist kein geheimnis
21751,thats not my fault,das ist nicht meine schuld
21752,thats not my fault,daran bin nicht ich schuld
21753,thats not possible,das ist nicht moglich
21754,thats not the case,das ist nicht der fall
21755,thats really sweet,das ist wirklich reizend
21756,thats really sweet,das ist wirklich su
21757,thats really sweet,der ist wirklich su
21758,thats really sweet,die ist wirklich su
21759,thats really weird,das ist wirklich verruckt
21760,thats sweet of you,das ist reizend von dir
21761,thats sweet of you,das ist reizend von ihnen
21762,thats sweet of you,das ist reizend von euch
21763,thats the attitude,das ist die richtige einstellung
21764,thats the only way,das ist der einzige weg
21765,thats too personal,das ist zu personlich
21766,thats true as well,das ist auch wahr
21767,thats unacceptable,das ist nicht hinzunehmen
21768,thats unacceptable,das ist unannehmbar
21769,thats uncalled for,das ist unangebracht
21770,thats what i heard,das ist was ich gehort habe
21771,thats why im here,das ist der grund warum ich hier bin
21772,thats why im here,ebendarum bin ich hier
21773,thats why im here,deswegen bin ich hier
21774,thats your funeral,das ist ihr problem
21775,thats your funeral,das ist allein dein problem
21776,thats your problem,das ist dein problem
21777,thats your problem,das ist ihr problem
21778,the tv doesnt work,der fernseher geht nicht
21779,the tv doesnt work,der fernseher funktioniert nicht
21780,the air became warm,die luft erwarmte sich
21781,the answer is right,die antwort ist richtig
21782,the answer was easy,die antwort war leicht
21783,the apples are ripe,die apfel sind reif
21784,the auction is over,die auktion ist vorbei
21785,the battery is dead,die batterie ist leer
21786,the bell is ringing,die glocke lautet
21787,the bicycle is mine,das fahrrad ist das meinige
21788,the bicycle is mine,das fahrrad ist meins
21789,the blouse is clean,die bluse ist sauber
21790,the boy bowed to me,der junge verbeugte sich vor mir
21791,the boys kept quiet,die jungen blieben still
21792,the boys were quiet,die jungen waren ruhig
21793,the bush is burning,der busch brennt
21794,the butter went bad,die butter ist ranzig geworden
21795,the button came off,der knopf loste sich
21796,the car didnt move,das auto bewegte sich nicht
21797,the car wont start,das auto springt nicht an
21798,the cat drinks milk,die katze trinkt milch
21799,the cat is adorable,die katze ist putzig
21800,the cat is not dead,die katze ist nicht tot
21801,the chair is broken,der stuhl ist zerbrochen
21802,the choice is yours,die wahl steht dir frei
21803,the choice is yours,es ist an dir zu wahlen
21804,the class went wild,die klasse ging uber tische und banke
21805,the class went wild,die klasse wurde verruckt
21806,the cold is intense,die kalte ist drastisch
21807,the computer is new,der computer ist neu
21808,the computer is new,der rechner ist neu
21809,the concert is over,das konzert ist aus
21810,the crowd went wild,die menge drehte durch
21811,the cup has a crack,die tasse hat einen sprung
21812,the damage was done,der schaden war angerichtet
21813,the dog ate my shoe,der hund hat meinen schuh gefressen
21814,the dog bit my hand,der hund biss mir in die hand
21815,the dog bit the man,der hund biss den mann
21816,the dog followed me,der hund folgte mir
21817,the dog is bleeding,der hund blutet
21818,the dog is sleeping,der hund schlaft
21819,the door is closing,die tur schliet sich
21820,the door was locked,die tur war verschlossen
21821,the door wont open,die tur geht nicht auf
21822,the economy is good,die wirtschaftslage ist gut
21823,the file is corrupt,die datei ist beschadigt
21824,the fire alarm rang,der feueralarm erscholl
21825,the food is spoiled,die lebensmittel sind verdorben
21826,the forest was dark,es war dunkel im wald
21827,the fridge is empty,der kuhlschrank ist leer
21828,the girl is jumping,das madchen springt
21829,the grapes are sour,die trauben sind sauer
21830,the house is pretty,das haus ist schon
21831,the house is vacant,das haus steht leer
21832,the idea is not bad,die idee ist nicht schlecht
21833,the idea is not new,die idee ist nicht neu
21834,the lake was frozen,der see war zugefroren
21835,the law was changed,das gesetz wurde geandert
21836,the law was changed,das gesetz ist geandert worden
21837,the letter returned,der brief kam zuruck
21838,the lights went out,die lichter gingen aus
21839,the lights went out,das licht ging aus
21840,the line is engaged,die leitung ist besetzt
21841,the lion is roaring,der lowe brullt
21842,the list is endless,die liste ist endlos
21843,the man took my arm,der mann nahm meinen arm
21844,the man was in rags,der mann trug lumpen
21845,the meat tastes bad,das fleisch schmeckt schlecht
21846,the moon is shining,der mond scheint
21847,the new car is hers,das neue auto gehort ihr
21848,the news shocked me,die nachricht schockierte mich
21849,the pay is terrible,die bezahlung ist unter aller sau
21850,the people fear war,die menschen furchten den krieg
21851,the pies delicious,der kuchen ist kostlich
21852,the plan has failed,der plan ging daneben
21853,the police are here,die polizei ist hier
21854,the pond froze over,der teich fror zu
21855,the river has risen,der fluss ist gestiegen
21856,the room was locked,das zimmer war abgeschlossen
21857,the room was packed,der saal war rappelvoll
21858,the scar is healing,die narbe verheilt
21859,the server was down,der server war ausgefallen
21860,the ship is sinking,das schiff sinkt
21861,the ship was at sea,das schiff war auf see
21862,the sirens went off,die sirenen gingen los
21863,the sirens went off,die sirenen fingen an zu heulen
21864,the sky turned dark,der himmel verdunkelte sich
21865,the soup is too hot,die suppe ist zu hei
21866,the soups very hot,die suppe ist sehr hei
21867,the stakes are high,es steht viel auf dem spiel
21868,the street is empty,die strae ist leer
21869,the street was dark,die strae war dunkel
21870,the victory is ours,der sieg ist unser
21871,the water was murky,das wasser war trub
21872,the website is down,die netzprasenz ist nicht erreichbar
21873,the wind has abated,der wind hat nachgelassen
21874,the wind is blowing,der wind weht
21875,the zipper is stuck,der reiverschluss steckt fest
21876,therapy didnt work,die therapie schlug nicht an
21877,therapy didnt work,die therapie hat nicht angeschlagen
21878,there are no spoons,es gibt keine loffel
21879,there may be others,es gibt vielleicht noch weitere
21880,there was a silence,es herrschte schweigen
21881,there were two left,zweie waren ubrig
21882,there were two left,zwei waren ubrig
21883,theres a condition,es gibt eine bedingung
21884,theres a lot to do,es gibt viel zu tun
21885,theres no evidence,es gibt keinen beweis
21886,theres no evidence,es gibt keine beweise
21887,theres no one home,es ist niemand zu hause
21888,theres no one left,es ist niemand ubrig
21889,theres your friend,da ist dein freund
21890,these are not words,das sind keine worter
21891,these are the rules,dies sind die regeln
21892,these books are new,diese bucher sind neu
21893,these shoes hurt me,in diesen schuhen tun mir die fue weh
21894,these things happen,sowas passiert
21895,they are christians,sie sind christen
21896,they are in the way,sie sind im weg
21897,they are my cousins,das sind meine cousins
21898,they are my cousins,das sind meine cousinen
21899,they are my cousins,das sind meine cousins und cousinen
21900,they are my cousins,das sind mein cousin und meine cousine
21901,they are my friends,das sind meine freunde
21902,they are my sisters,sie sind meine schwestern
21903,they are unreliable,sie sind unzuverlassig
21904,they arent all bad,die sind nicht alle schlecht
21905,they arent doctors,das sind keine arzte
21906,they arent farmers,das sind keine bauern
21907,they arent like us,die sind nicht so wie wir
21908,they arent related,die sind nicht verwandt
21909,they became nervous,sie wurden nervos
21910,they believe in god,sie glauben an gott
21911,they cant fire you,sie konnen dich nicht entlassen
21912,they cant hear you,sie konnen dich nicht horen
21913,they cant hear you,sie konnen euch nicht horen
21914,they cant stop you,sie konnen dich nicht aufhalten
21915,they cannot stop it,sie konnen es nicht aufhalten
21916,they cannot stop me,sie konnen mich nicht aufhalten
21917,they cannot stop us,sie konnen uns nicht aufhalten
21918,they did not listen,sie haben nicht zugehort
21919,they didnt say why,sie sagten nicht warum
21920,they died in battle,sie starben auf dem schlachtfeld
21921,they dont know yet,sie wissen es noch nicht
21922,they handcuffed tom,sie haben tom in handschellen gelegt
21923,they have been busy,sie waren beschaftigt
21924,they have few books,sie haben wenige bucher
21925,they know our plans,sie kennen unsere plane
21926,they know our plans,sie wissen um unsere plane
21927,they laughed at him,sie lachten uber ihn
21928,they lost their dog,sie haben ihren hund verloren
21929,they love that song,sie lieben dieses lied
21930,they love this song,sie lieben dieses lied
21931,they made a promise,sie haben ein versprechen abgelegt
21932,they made a promise,sie legten ein versprechen ab
21933,they made fun of me,sie machten sich uber mich lustig
21934,they made fun of me,sie haben sich uber mich lustig gemacht
21935,they need new shoes,sie brauchen neue schuhe
21936,they really did win,sie haben tatsachlich gewonnen
21937,they ruined my life,die haben mein leben ruiniert
21938,they sang in chorus,sie sangen im chor
21939,they say shes sick,sie sagen dass sie krank sei
21940,they seem very busy,sie scheinen sehr beschaftigt zu sein
21941,they should know it,sie sollten es wissen
21942,they should sue tom,sie sollten tom verklagen
21943,they started firing,sie eroffneten das feuer
21944,they started firing,sie fingen an zu schieen
21945,they stayed friends,sie blieben freunde
21946,they stayed friends,sie sind freunde geblieben
21947,they waited outside,sie warteten drauen
21948,they went by subway,sie fuhren mit der untergrundbahn
21949,they were satisfied,sie waren zufrieden
21950,they wont find you,sie werden dich nicht finden
21951,they wont find you,sie werden sie nicht finden
21952,they wont find you,sie werden euch nicht finden
21953,they wont help you,sie werden dir nicht helfen
21954,they wont hurt you,sie werden dir nichts antun
21955,they wont hurt you,sie werden dir nichts tun
21956,they wont hurt you,sie werden dich nicht verletzen
21957,theyll go shopping,sie werden einkaufen gehen
21958,theyre ignoring us,sie ignorieren uns
21959,theyre in the well,sie sind im brunnen
21960,theyre inseparable,sie sind unzertrennlich
21961,theyre lying to us,sie belugen uns
21962,theyre mocking you,sie verspotten dich
21963,theyre not farmers,sie sind keine bauern
21964,theyre not farmers,sie sind keine landwirte
21965,theyre not talking,sie sprechen nicht
21966,theyre our friends,das sind unsere freunde
21967,theyre proud of me,sie sind stolz auf mich
21968,theyre still young,sie sind noch jung
21969,theyre there alone,sie sind allein dort
21970,theyre vegetarians,das sind vegetarier
21971,theyve forgiven me,sie haben mir verziehen
21972,theyve located tom,man hat tom geortet
21973,things have changed,die dinge haben sich verandert
21974,this cd is my sons,diese cd gehort meinem sohn
21975,this apple is sweet,dieser apfel ist su
21976,this beef is tender,das rindfleisch ist zart
21977,this belongs to tom,das gehort tom
21978,this bird cant fly,dieser vogel kann nicht fliegen
21979,this book is boring,dieses buch ist langweilig
21980,this can is leaking,die kanne leckt
21981,this can is leaking,die kanne ist undicht
21982,this cant be right,das kann nicht stimmen
21983,this car sells well,dieses auto verkauft sich gut
21984,this chair is light,dieser stuhl ist leicht
21985,this could mean war,das konnte vielleicht krieg bedeuten
21986,this desk is broken,dieser schreibtisch ist kaputt
21987,this desk is broken,dieser schreibtisch ist defekt
21988,this door is locked,diese tur ist abgeschlossen
21989,this drawers stuck,diese schublade klemmt
21990,this dress is cheap,dieses kleid ist billig
21991,this glass is dirty,dieses glas ist schmutzig
21992,this guy is a loser,dieser kerl ist ein verlierer
21993,this guy is a loser,dieser kerl ist eine niete
21994,this is toms camel,das hier ist toms kamel
21995,this is toms diary,das ist toms terminkalender
21996,this is toms grave,das hier ist toms grab
21997,this is toms knife,das ist toms messer
21998,this is a fine ship,das ist ein schones schiff
21999,this is a good deal,das ist ein guter handel
22000,this is a good sign,das ist ein gutes zeichen
22001,this is a huge loss,das ist ein enormer verlust
22002,this is a huge loss,das ist ein gewaltiger verlust
22003,this is a long list,das ist eine lange liste
22004,this is a new model,das ist ein neues modell
22005,this is a new model,dies ist ein neues modell
22006,this is a newspaper,das ist eine zeitung
22007,this is a nightmare,das ist ein alptraum
22008,this is a nightmare,das hier ist ein alptraum
22009,this is a sick joke,das ist ein makabrer scherz
22010,this is a sunflower,das ist eine sonnenblume
22011,this is an ice cube,das ist ein eiswurfel
22012,this is an old book,dies ist ein altes buch
22013,this is complicated,das ist kompliziert
22014,this is good coffee,dies ist ein guter kaffee
22015,this is good for us,das ist gut fur uns
22016,this is holy ground,das hier ist heiliger boden
22017,this is interesting,das ist interessant
22018,this is just stupid,das ist einfach damlich
22019,this is kind of fun,das macht irgendwie spa
22020,this is my city now,das ist jetzt meine stadt
22021,this is my daughter,das ist meine tochter
22022,this is my decision,das ist meine entscheidung
22023,this is my home now,dies ist jetzt mein zuhause
22024,this is my own bike,das ist mein eigenes fahrrad
22025,this is my question,das ist meine frage
22026,this is my umbrella,das hier ist mein schirm
22027,this is not a drill,dies ist keine ubung
22028,this is really cute,das ist echt su
22029,this is so romantic,das ist so romantisch
22030,this is their house,das ist ihr haus
22031,this is unfortunate,das ist unglucklich
22032,this is very simple,das ist sehr einfach
22033,this is what i need,das ist es was ich brauche
22034,this is what i want,das ist es was ich will
22035,this is what i want,genau das will ich
22036,this is your chance,das ist deine chance
22037,this is your chance,das ist ihre chance
22038,this isnt for sale,das ist nicht verkauflich
22039,this isnt worth it,das ist es nicht wert
22040,this lady is indian,diese dame ist inderin
22041,this makes no sense,das macht keinen sinn
22042,this makes no sense,das hat keinen sinn
22043,this never happened,das ist nie passiert
22044,this novel bores me,dieser roman langweilt mich
22045,this paper is rough,dieses papier ist rau
22046,this place is great,es ist toll hier
22047,this rarely happens,das kommt selten vor
22048,this rarely happens,das passiert selten
22049,this room is a mess,dieses zimmer ist eine rumpelkammer
22050,this screw is loose,diese schraube ist locker
22051,this seems unlikely,das ist unwahrscheinlich
22052,this seems unlikely,das erscheint unwahrscheinlich
22053,this table is clean,dieser tisch ist sauber
22054,this table is heavy,dieser tisch ist schwer
22055,this tooth is loose,dieser zahn ist locker
22056,this was toms idea,das war toms idee
22057,this was my mistake,das war mein fehler
22058,this way gentlemen,hier entlang meine herren
22059,this will do nicely,damit wird es funktionieren
22060,this winter is warm,dieser winter ist warm
22061,this wont end well,das wird nicht gut ausgehen
22062,those are my orders,so lauten meine befehle
22063,those are our books,das sind unsere bucher
22064,those are the facts,das sind die fakten
22065,those things happen,solche sachen passieren
22066,those things happen,so was kommt vor
22067,thou shalt not kill,du sollst nicht toten
22068,three weeks went by,es vergingen drei wochen
22069,three weeks went by,drei wochen vergingen
22070,throw down your gun,waffe fallenlassen
22071,throw down your gun,waffe weg
22072,time is running out,die zeit lauft aus
22073,time passes quickly,die zeit vergeht schnell
22074,time passes quickly,die zeit vergeht rasch
22075,today is a good day,heute ist ein guter tag
22076,tom abused my trust,tom missbrauchte mein vertrauen
22077,tom appears awkward,tom scheint unbeholfen zu sein
22078,tom appears nervous,tom scheint nervos zu sein
22079,tom appears nervous,tom sieht nervos aus
22080,tom appears stunned,tom scheint verblufft zu sein
22081,tom appears stunned,tom sieht verblufft aus
22082,tom appears worried,tom sieht besorgt aus
22083,tom appears worried,tom scheint besorgt zu sein
22084,tom asked something,tom fragte etwas
22085,tom asked something,tom hat etwas gefragt
22086,tom ate a tv dinner,tom hat sich ein fertiggericht gemacht
22087,tom ate a tv dinner,tom hat sich ein tiefkuhlgericht gemacht
22088,tom banged his knee,tom hat sich das knie gestoen
22089,tom became a doctor,tom wurde arzt
22090,tom behaved himself,tom hat sich benommen
22091,tom bought a webcam,tom hat sich eine netzkamera gekauft
22092,tom called me today,tom hat mich heute angerufen
22093,tom came by earlier,tom kam vorhin vorbei
22094,tom can answer that,tom kann das beantworten
22095,tom can drive a car,tom kann auto fahren
22096,tom cant cook well,tom kann nicht gut kochen
22097,tom cant deny that,tom kann das nicht abstreiten
22098,tom cant deny this,tom kann das nicht abstreiten
22099,tom cant even read,tom kann noch nicht einmal lesen
22100,tom cant even read,tom kann nicht einmal lesen
22101,tom cant find mary,tom kann maria nicht finden
22102,tom cant leave now,tom kann jetzt nicht weg
22103,tom cant mean that,tom kann das nicht ernst meinen
22104,tom cant stay long,tom kann nicht lange bleiben
22105,tom cant stop mary,tom kann maria nicht aufhalten
22106,tom caught the ball,tom fing den ball
22107,tom closed his eyes,tom schloss seine augen
22108,tom closed the book,tom schlug das buch zu
22109,tom collects comics,tom sammelt comics
22110,tom collects stamps,tom sammelt briefmarken
22111,tom confronted mary,tom konfrontierte maria
22112,tom cried all night,tom weinte die ganze nacht
22113,tom cried all night,tom weinte die ganze nacht hindurch
22114,tom cried all night,tom hat die ganze nacht uber geweint
22115,tom cut marys hair,tom hat maria die haare geschnitten
22116,tom cut marys hair,tom schnitt maria die haare
22117,tom decided to stay,tom hat sich entschieden zu bleiben
22118,tom deserves better,tom hat etwas besseres verdient
22119,tom did a handstand,tom machte einen handstand
22120,tom did a lousy job,tom hat lausige arbeit geleistet
22121,tom didnt disagree,tom widersprach nicht
22122,tom didnt go alone,tom ging nicht allein
22123,tom didnt say much,tom sagte nicht viel
22124,tom didnt say much,tom hat nicht viel gesagt
22125,tom didnt say that,das hat tom gar nicht gesagt
22126,tom died very young,tom ist sehr jung gestorben
22127,tom disappointed me,tom hat mich enttauscht
22128,tom disappointed me,tom enttauschte mich
22129,tom doesnt do much,tom tut nicht viel
22130,tom doesnt do that,tom tut das nicht
22131,tom doesnt help me,tom hilft mir nicht
22132,tom doesnt know me,tom kennt mich nicht
22133,tom doesnt like me,tom mag mich nicht
22134,tom doesnt like me,tom kann mich nicht leiden
22135,tom doesnt like us,tom mag uns nicht
22136,tom drinks too much,tom trinkt zu viel
22137,tom drives a datsun,tom fahrt einen datsun
22138,tom drives a toyota,tom fahrt einen toyota
22139,tom drives too fast,tom fahrt zu schnell
22140,tom drove to school,tom fuhr zur schule
22141,tom eats like a pig,tom frisst wie ein schwein
22142,tom eats like a pig,tom isst wie ein schwein
22143,tom faces a dilemma,tom steckt in einer zwickmuhle
22144,tom failed the test,tom fiel bei dem test durch
22145,tom failed the test,tom hat den test nicht bestanden
22146,tom faked his death,tom tauschte seinen tod vor
22147,tom felt humiliated,tom fuhlte sich gedemutigt
22148,tom folded his arms,tom verschrankte seine arme
22149,tom found a new job,tom fand einen neuen job
22150,tom found me a taxi,tom suchte mir ein taxi
22151,tom found something,tom hat etwas gefunden
22152,tom gave a big yawn,tom gahnte breit
22153,tom gave me the key,tom gab mir den schlussel
22154,tom gave up smoking,tom hat mit dem rauchen aufgehort
22155,tom gave up smoking,tom hat das rauchen aufgegeben
22156,tom got in the boat,tom stieg ins boot
22157,tom got off the bus,tom stieg aus dem bus
22158,tom got soaking wet,tom wurde klitschnass
22159,tom grabbed a chair,tom nahm sich einen stuhl
22160,tom grabbed his bag,tom schnappte sich seine tasche
22161,tom grabbed my hand,tom ergriff meine hand
22162,tom grew a mustache,tom hat sich einen schnurrbart wachsen lassen
22163,tom had a bad dream,tom hatte einen schlechten traum
22164,tom had a bad dream,tom hatte einen bosen traum
22165,tom had a bad dream,tom hatte einen alptraum
22166,tom had a black cat,tom hatte eine schwarze katze
22167,tom had a good idea,tom hatte eine gute idee
22168,tom had a lot to do,tom hatte viel zu tun
22169,tom had an accident,tom hatte einen unfall
22170,tom had to go there,tom musste dort hingehen
22171,tom has siblings,tom hat zwolf geschwister
22172,tom has alzheimers,tom hat alzheimer
22173,tom has a bald spot,tom hat eine kahle stelle am kopf
22174,tom has a big mouth,tom hat eine groe klappe
22175,tom has a black eye,tom hat ein blaues auge
22176,tom has a cleft lip,tom hat eine lippenspalte
22177,tom has a sore back,tom hat ruckenschmerzen
22178,tom has a sore knee,tom hat knieschmerzen
22179,tom has a toothache,tom hat zahnschmerzen
22180,tom has already won,tom hat bereits gewonnen
22181,tom has been beaten,tom wurde geschlagen
22182,tom has been beaten,tom ist besiegt worden
22183,tom has betrayed me,tom hat mich verraten
22184,tom has betrayed us,tom hat uns hintergangen
22185,tom has disappeared,tom ist verschwunden
22186,tom has gone insane,tom hat den verstand verloren
22187,tom has gone to bed,tom ist zu bett gegangen
22188,tom has lost weight,tom hat abgenommen
22189,tom has other plans,tom hat andere plane
22190,tom has small hands,tom hat kleine hande
22191,tom has tonsillitis,tom hat angina
22192,tom has tonsillitis,tom hat eine mandelentzundung
22193,tom has two sisters,tom hat zwei schwestern
22194,tom hasnt come yet,tom ist noch nicht da
22195,tom hates everybody,tom hasst alle und jeden
22196,tom hates your guts,tom hasst dich wie die pest
22197,tom heard a gunshot,tom horte einen schuss
22198,tom heard footsteps,tom horte schritte
22199,tom heated the milk,tom erhitzte die milch
22200,tom held his breath,tom hielt den atem an
22201,tom helped the poor,tom half den armen
22202,tom hid his weapons,tom verbarg seine waffen
22203,tom hit rock bottom,tom war am tiefpunkt angelangt
22204,tom hit rock bottom,tom war am boden zerstort
22205,tom honked the horn,tom hupte
22206,tom honked the horn,tom druckte auf die hupe
22207,tom injured himself,tom verletzte sich
22208,tom is marys uncle,tom ist der onkel von mary
22209,tom is a bad driver,tom ist ein schlechter fahrer
22210,tom is a bad driver,tom ist ein schlechter autofahrer
22211,tom is a biochemist,tom ist biochemiker
22212,tom is a bus driver,tom ist busfahrer
22213,tom is a daydreamer,tom ist ein tagtraumer
22214,tom is a family man,tom ist ein familienmensch
22215,tom is a fast eater,tom ist ein schneller esser
22216,tom is a fire eater,tom ist feuerschlucker
22217,tom is a good pilot,tom ist ein guter pilot
22218,tom is a little odd,tom ist etwas komisch
22219,tom is a normal guy,tom ist ein normaler typ
22220,tom is a politician,tom ist politiker
22221,tom is a programmer,tom ist programmierer
22222,tom is a psychopath,tom ist ein psychopath
22223,tom is a risk taker,tom ist ein wagehals
22224,tom is a risk taker,tom ist ein waghalsiger mensch
22225,tom is a risk taker,tom ist ein wagemutiger mensch
22226,tom is a slow eater,tom ist ein langsamer esser
22227,tom is a vegetarian,tom ist vegetarier
22228,tom is a workaholic,tom ist arbeitswutig
22229,tom is ambidextrous,tom ist beidhander
22230,tom is an adult now,tom ist jetzt erwachsen
22231,tom is back in town,tom ist wieder in der stadt
22232,tom is calling back,tom ruft zuruck
22233,tom is coming today,tom kommt heute
22234,tom is disappointed,tom ist enttauscht
22235,tom is disorganized,tom ist unordentlich
22236,tom is following us,tom folgt uns
22237,tom is full of hope,tom ist voller hoffnung
22238,tom is full of hope,tom ist ganz hoffnungsvoll
22239,tom is full of life,tom steckt voller leben
22240,tom is good at math,tom ist gut in mathe
22241,tom is good at this,tom kann das gut
22242,tom is good at this,tom ist gut darin
22243,tom is grown up now,tom ist jetzt erwachsen
22244,tom is hard at work,tom arbeitet hart
22245,tom is here with us,tom ist hier bei uns
22246,tom is housesitting,tom hutet das haus
22247,tom is in a meeting,tom ist in einer besprechung
22248,tom is in the attic,tom ist auf dem dachboden
22249,tom is in the house,tom ist im haus
22250,tom is irresistible,tom ist unwiderstehlich
22251,tom is jumping rope,tom springt uber das seil
22252,tom is jumping rope,tom hupft uber das seil
22253,tom is just like us,tom ist genau wie wir
22254,tom is just nervous,tom ist einfach nur nervos
22255,tom is kind to mary,tom ist gut zu maria
22256,tom is kissing mary,tom kusst maria
22257,tom is lying in bed,tom liegt im bett
22258,tom is making faces,tom schneidet grimassen
22259,tom is my colleague,tom ist mein kollege
22260,tom is nervous too,tom ist auch nervos
22261,tom is not a member,tom ist kein mitglied
22262,tom is not an idiot,tom ist kein idiot
22263,tom is not to blame,dafur kann tom nichts
22264,tom is on the plane,tom ist im flugzeug
22265,tom is overreacting,tom uberdreht
22266,tom is playing golf,tom spielt golf
22267,tom is pretty upset,tom ist ziemlich besturzt
22268,tom is quite a poet,tom ist ein ganz schoner poet
22269,tom is quite stupid,tom ist ziemlich dumm
22270,tom is really quick,tom ist superschnell
22271,tom is really smart,tom ist sehr schlau
22272,tom is really sorry,es tut tom wirklich leid
22273,tom is righthanded,tom ist rechtshander
22274,tom is sleeping now,tom schlaft gerade
22275,tom is slowing down,tom wird langsamer
22276,tom is sound asleep,tom schlaft tief und fest
